strategy_name,Period,net_pnl_change,Rank,Shifted_Period
S_GBPUSD_S35_1_3749132_746299E1,2023-05,337.74342088000003,10,2023-04
S_EURUSD_S41_2_2481771_CFA13660,2023-05,264.62925551,9,2023-04
S_EURUSD_S41_1_62593_8982CD74,2023-05,259.05311641000003,8,2023-04
S_EURUSD_S27_0_968056_401BDC61,2023-05,202.92325879,7,2023-04
S_EURUSD_S41_4_513234_C8B6B6F2,2023-05,186.2725229,6,2023-04
L_GBPUSD_S34_2_9722597_DB736AAF,2023-05,173.74842466,5,2023-04
S_GBPUSD_S35_4_6042225_C5E9B0ED,2023-05,171.80414448,4,2023-04
S_EURUSD_S33_3_1448881_78FBD3B5,2023-05,171.08297720000002,3,2023-04
S_EURUSD_S33_4_6607397_2278A9A2,2023-05,160.76803059,2,2023-04
L_GBPUSD_S42_3_2299833_367BB086,2023-05,155.32945285,1,2023-04
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-06,241.08859692999997,10,2023-05
S_EURUSD_S33_4_6607397_2278A9A2,2023-06,217.86543799,9,2023-05
L_GBPUSD_S42_4_1061317_58ADC376,2023-06,198.90045244,8,2023-05
L_EURUSD_S26_3_153647_5E8BD1C5,2023-06,196.62830153,7,2023-05
S_EURUSD_S33_1_1965310_88C485AE,2023-06,187.0763121,6,2023-05
S_EURUSD_S41_2_2481771_CFA13660,2023-06,185.20802401,5,2023-05
L_EURUSD_S40_3_2605289_E2A4C437,2023-06,165.41200083,4,2023-05
S_GBPUSD_S43_1_2000358_9C9CF06A,2023-06,158.79761811,3,2023-05
L_GBPUSD_S42_4_463457_5325E483,2023-06,147.97930297,2,2023-05
S_GBPUSD_S43_4_757760_36AEAD74,2023-06,145.27209459,1,2023-05
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-07,194.58324608,10,2023-06
L_EURUSD_S26_1_640342_4C128428,2023-07,187.42386928,9,2023-06
L_GBPUSD_S42_4_1061317_58ADC376,2023-07,158.64594798000002,8,2023-06
