Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-04,L_GBPUSD_S34_3_2130541_D1469B50,161.17842584,158.846920401,
2023-04,S_EURUSD_S41_2_2481771_CFA13660,158.65460324999998,158.846920401,
2023-04,L_EURUSD_S40_3_2590923_2CF7B5E9,140.68193784,158.846920401,
2023-04,L_GBPUSD_S42_4_793519_D8FAB916,131.11737369,158.846920401,
2023-04,L_EURUSD_S40_1_2132828_63A45C87,127.45443925999999,158.846920401,
2023-04,S_EURUSD_S33_4_6607397_2278A9A2,112.86733518,158.846920401,
2023-04,S_GBPUSD_S35_1_7791031_A9EA0170,-162.78095937999998,,-87.480094944
2023-04,S_GBPUSD_S43_1_3044982_98DCBCEA,-122.18455820999999,,-87.480094944
2023-04,S_EURUSD_S41_1_1664848_ECE9614A,-112.02663323,,-87.480094944
2023-04,S_GBPUSD_S35_1_6667748_CD1C245A,-98.62900443999999,,-87.480094944
2023-04,S_EURUSD_S33_3_3872153_B1F46378,-84.75674136,,-87.480094944
2023-04,S_GBPUSD_S35_3_6866072_43587EAA,-65.28184508999999,,-87.480094944
2023-04,S_GBPUSD_S35_3_7556808_340FC398,-62.01434723,,-87.480094944
2023-04,S_GBPUSD_S43_4_757760_36AEAD74,-57.82271859000001,,-87.480094944
2023-04,S_EURUSD_S27_0_968056_401BDC61,-55.29415202999999,,-87.480094944
2023-04,S_GBPUSD_S43_4_1314974_DA658E5F,-54.009989880000006,,-87.480094944
2023-05,S_GBPUSD_S35_1_3749132_746299E1,337.74342088000003,208.335460427,
2023-05,S_EURUSD_S41_2_2481771_CFA13660,264.62925551,208.335460427,
2023-05,S_EURUSD_S41_1_62593_8982CD74,259.05311641000003,208.335460427,
2023-05,S_EURUSD_S27_0_968056_401BDC61,202.92325879,208.335460427,
2023-05,S_EURUSD_S41_4_513234_C8B6B6F2,186.2725229,208.335460427,
2023-05,L_GBPUSD_S34_2_9722597_DB736AAF,173.74842466,208.335460427,
2023-05,S_GBPUSD_S35_4_6042225_C5E9B0ED,171.80414448,208.335460427,
2023-05,S_EURUSD_S33_3_1448881_78FBD3B5,171.08297720000002,208.335460427,
2023-05,S_EURUSD_S33_4_6607397_2278A9A2,160.76803059,208.335460427,
2023-05,L_GBPUSD_S42_3_2299833_367BB086,155.32945285,208.335460427,
2023-05,L_EURUSD_S40_3_630091_CBB03EA1,-146.61755448,,-76.446547862
2023-05,L_EURUSD_S40_3_1464010_33F517BA,-78.85834822999999,,-76.446547862
2023-05,L_GBPUSD_S30_2_184556_39B984AC,-76.06916441,,-76.446547862
2023-05,S_GBPUSD_S43_0_2978460_E3DF6342,-74.33811220000001,,-76.446547862
2023-05,L_GBPUSD_S34_4_8079186_743600CC,-73.51958028,,-76.446547862
2023-05,S_GBPUSD_S35_1_9519598_603C0308,-70.94427591,,-76.446547862
2023-05,L_EURUSD_S40_3_2605289_E2A4C437,-65.23392188,,-76.446547862
2023-05,S_GBPUSD_S35_3_3685202_06824EEE,-65.11483532,,-76.446547862
2023-05,S_EURUSD_S41_0_1794197_1ECCA904,-58.252188829999994,,-76.446547862
2023-05,L_EURUSD_S24_2_977031_FFF2B578,-55.517497080000005,,-76.446547862
2023-06,L_EURUSD_S40_3_2590923_2CF7B5E9,241.08859692999997,184.42281415,
2023-06,S_EURUSD_S33_4_6607397_2278A9A2,217.86543799,184.42281415,
2023-06,L_GBPUSD_S42_4_1061317_58ADC376,198.90045244,184.42281415,
2023-06,L_EURUSD_S26_3_153647_5E8BD1C5,196.62830153,184.42281415,
2023-06,S_EURUSD_S33_1_1965310_88C485AE,187.0763121,184.42281415,
2023-06,S_EURUSD_S41_2_2481771_CFA13660,185.20802401,184.42281415,
2023-06,L_EURUSD_S40_3_2605289_E2A4C437,165.41200083,184.42281415,
2023-06,S_GBPUSD_S43_1_2000358_9C9CF06A,158.79761811,184.42281415,
2023-06,L_GBPUSD_S42_4_463457_5325E483,147.97930297,184.42281415,
2023-06,S_GBPUSD_S43_4_757760_36AEAD74,145.27209459,184.42281415,
2023-06,S_GBPUSD_S35_1_3749132_746299E1,-189.69454317,,-77.41674858399999
2023-06,S_GBPUSD_S35_1_7791031_A9EA0170,-104.25438454,,-77.41674858399999
2023-06,S_GBPUSD_S35_3_2715032_3096DF54,-78.03994088,,-77.41674858399999
2023-06,S_EURUSD_S27_1_713515_F35AC498,-68.69638678999999,,-77.41674858399999
2023-06,S_GBPUSD_S43_1_2620167_C2DD906B,-62.89670453000001,,-77.41674858399999
2023-06,S_EURUSD_S41_1_3212656_28888BF4,-56.94787084,,-77.41674858399999
